term,window,conf.low,estimate,conf.high,p.value,outcome
DBuP,3y,-996.137,-18.002,960.133,0.97581860094577,Cerebellum_Cortex
DPHP,birth,-499.041,36.782,572.605,0.9100992272009272,Cerebellum_Cortex
DPHP,prenatal,-499.041,36.782,572.605,0.9100992272009272,Cerebellum_Cortex
DPHP,3y,-499.041,36.782,572.605,0.9100992272009272,Cerebellum_Cortex
BCEtP,birth,-106.630,-37.221,32.188,0.3777383608095941,Thalamus_Proper
BCEtP,prenatal,-106.630,-37.221,32.188,0.3777383608095941,Thalamus_Proper
BCEtP,3y,-1.014,116.456,233.927,0.10295529134658322,Thalamus_Proper
BDCPP,birth,-100.143,-13.594,72.954,0.7961270485557128,Thalamus_Proper
BDCPP,prenatal,-100.143,-13.594,72.954,0.7961270485557128,Thalamus_Proper
BDCPP,3y,-100.143,-13.594,72.954,0.7961270485557128,Thalamus_Proper
DBuP,birth,-174.180,-85.356,3.469,0.11396569479518193,Thalamus_Proper
DBuP,prenatal,-100.678,50.506,201.690,0.5822319199500124,Thalamus_Proper
DBuP,3y,-109.830,22.077,153.984,0.7828221309479708,Thalamus_Proper
DPHP,birth,-118.803,-28.813,61.176,0.5984316389412687,Thalamus_Proper
DPHP,prenatal,-118.803,-28.813,61.176,0.5984316389412687,Thalamus_Proper
DPHP,3y,-118.803,-28.813,61.176,0.5984316389412687,Thalamus_Proper
BCEtP,birth,-38.223,30.476,99.175,0.4655793240117816,Caudate
BCEtP,prenatal,-38.223,30.476,99.175,0.4655793240117816,Caudate
BCEtP,3y,-38.223,30.476,99.175,0.4655793240117816,Caudate
BDCPP,birth,-97.159,-14.082,68.995,0.7801010691346575,Caudate
BDCPP,prenatal,4.347,54.327,104.306,0.0737886188246124,Caudate
BDCPP,3y,4.347,54.327,104.306,0.0737886188246124,Caudate
DBuP,birth,-57.649,10.604,78.858,0.7982954474378462,Caudate
DBuP,prenatal,-57.649,10.604,78.858,0.7982954474378462,Caudate
DBuP,3y,-57.649,10.604,78.858,0.7982954474378462,Caudate
DPHP,birth,-127.710,-43.240,41.229,0.3993043372484131,Caudate
DPHP,prenatal,-137.117,-46.610,43.898,0.39648022770070623,Caudate
DPHP,3y,27.338,77.809,128.279,0.011218496790117771,Caudate
BCEtP,birth,-77.295,21.186,119.666,0.7234517682726762,Putamen
BCEtP,prenatal,-77.295,21.186,119.666,0.7234517682726762,Putamen
BCEtP,3y,-77.295,21.186,119.666,0.7234517682726762,Putamen
BDCPP,birth,-36.427,44.145,124.717,0.3674770038086784,Putamen
BDCPP,prenatal,-36.427,44.145,124.717,0.3674770038086784,Putamen
BDCPP,3y,-36.427,44.145,124.717,0.3674770038086784,Putamen
DBuP,birth,-182.628,-84.358,13.912,0.15795336757736012,Putamen
DBuP,prenatal,-182.628,-84.358,13.912,0.15795336757736012,Putamen
DBuP,3y,-182.628,-84.358,13.912,0.15795336757736012,Putamen
DPHP,birth,-215.973,-77.066,61.840,0.3610335821838525,Putamen
DPHP,prenatal,-222.804,-89.357,44.090,0.27037613139708494,Putamen
DPHP,3y,-36.987,44.011,125.008,0.3714558283665015,Putamen
BCEtP,birth,-14.525,13.597,41.719,0.4264403408550176,Pallidum
BCEtP,prenatal,-14.525,13.597,41.719,0.4264403408550176,Pallidum
BCEtP,3y,-14.525,13.597,41.719,0.4264403408550176,Pallidum
BDCPP,birth,-27.308,0.412,28.133,0.9804837814582368,Pallidum
BDCPP,prenatal,-27.308,0.412,28.133,0.9804837814582368,Pallidum
BDCPP,3y,-27.308,0.412,28.133,0.9804837814582368,Pallidum
DBuP,birth,-27.546,0.784,29.114,0.9636920615185561,Pallidum
DBuP,prenatal,-27.546,0.784,29.114,0.9636920615185561,Pallidum
DBuP,3y,-27.546,0.784,29.114,0.9636920615185561,Pallidum
DPHP,birth,-16.074,10.640,37.353,0.5123841072322002,Pallidum
